"nombre"	"tipo_centro"	"dir"	"horario"	"dias"	"lon"	"lat"	"tipo"	"entidades_que_apoya"	"entidad"
"Walmart"	NA	"Av. Chalma No. 281 Jardínes de la Hacienda 54720 Cuautitlán Izcalli Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.203312	19.6703734	NA	NA	"EDOMEX"
"Walmart"	NA	"Vía José López Portillo No. 2 San Francisco Coacalco 55712 Coacalco Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1071461	19.6364182	NA	NA	"EDOMEX"
"Walmart"	NA	"Vialidad Toluca - Naucalpan No. 1101 San Mateo Otzacatipan 50200 Toluca Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6247966	19.3215145	NA	NA	"EDOMEX"
"Walmart"	NA	"Blvd. Manuel Avila Camacho No. 2550 Fraccionamiento Los Pirules 54050 Tlalnepantla de Baz Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2217534	19.5300458	NA	NA	"EDOMEX"
"Walmart"	NA	"Blvd. Adolfo López Mateos No. 1701 Lomas de Plateros 01460 Alvaro Obregón México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1923896	19.3733997	NA	NA	"CDMX"
"Walmart"	NA	"Av. Canal de Tezontle No. 1520 Dr. Alfonso OrtizTirado 09020 Iztapalapa México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0831257	19.3838425	NA	NA	"CDMX"
"Walmart"	NA	"Autopista México - Quéretaro No. 3985 Centro Industrial Tlalnepantla 54030 Tlalnepantla de Baz Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.21194	19.544288	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Prolongación Paseo de la Reforma No. 400 Santa Fe Entre Av. Vasco de Quiróga y Av. Paseo de la Reforma 01210 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2543711	19.3772492	NA	NA	"CDMX"
"Walmart"	NA	"Autopista México- Querétaro km 36.5 LT 1 Parque Industrial Cuamatla 54730 Cuautitlán Izcalli Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2005471	19.6690569	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Centro Comercial 190 04530 Insurgentes Cuicuilco Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1899045	19.3056403	NA	NA	"CDMX"
"Walmart"	NA	"Leona Vicario No. 502 La Purisima 52840 Toluca Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6153769	19.261535	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Escuela Naval Militar No. 753 0 Esq. Av. Canal De Miramontes 04890 Coyoacán México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1245712	19.3152097	NA	NA	"CDMX"
"Walmart"	NA	"Las Águilas No. 820 Las Águilas 01710 Álvaro Obregón México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1960581	19.3909403	NA	NA	"CDMX"
"Walmart"	NA	"Paseo de las Palomas No. 25 Fraccionamiento Las Alamedas 52970 Atizapán de Zaragoza Atizapán Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.248438	19.5533692	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Central Manzana 4 Lote 1 Las Américas Esq. Av. 1 de Mayo 55459 Ecatepec de Morelos Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0162017	19.5854918	NA	NA	"EDOMEX"
"Walmart"	NA	"Rio Lerma No. 5 La Merced Entre Las Calles De Morelos Y El Calvario 52006 Lerma Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.5069114	19.2826137	NA	NA	"EDOMEX"
"Walmart"	NA	"Blvd. Manuel Ávila Camacho No. 491 Periodistas 11220 Miguel Hidalgo México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2176534	19.4501943	NA	NA	"CDMX"
"Walmart"	NA	"Super Carretera Lomas Verdes No. 1200 VI Sección Lomas Verdes 53120 Naucalpan de Juárez Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2678327	19.5160237	NA	NA	"EDOMEX"
"Walmart"	NA	"Blvd. Magnocentro 35/ Lote 1/ Manzana II Bosques De Las Palmas 52787 Huixquilucan Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2722913	19.40646	NA	NA	"EDOMEX"
"Walmart"	NA	"Carretera Jorobas - Tula 02 38 Manzana 125 NTE 1 Santa Teresa 3 y 3 BIS Camino a Santa Teresa 54695 Huehuetoca Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2378347	19.8416313	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. San Francisco 1621 Del Valle 03100 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2373266	19.3119319	NA	NA	"CDMX"
"Walmart"	NA	"José Ma. Castorena No. 84 San José de los Cedros 05210 Cuajimalpa México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2878776	19.3628309	NA	NA	"CDMX"
"Walmart"	NA	"Cañaverales No. 222 Granjas Coapa 14330 Coyoacan México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1098214	19.2941718	NA	NA	"CDMX"
"Walmart"	NA	"Av. Cuitlahuac No. 3651 Hogar y Seguridad 02820 Azcapotzalco México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1619468	19.4727376	NA	NA	"CDMX"
"Walmart"	NA	"Av. Revolución No. 1560 San Cristóbal Centro Entre las Calles Agricultura y Benito Juárez 55000 Ecatepec de Morelos Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0482334	19.6053725	NA	NA	"EDOMEX"
"Walmart"	NA	"Emiliano Zapata No. 7 Santa María Nativitas 05320 Estado de Mexico Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6352424	19.2083433	NA	NA	"EDOMEX"
"Walmart"	NA	"Calz. San Juan de Aragón No. 516 D.M. Nacional 07090 Gustavo A. Madero México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0940134	19.4781689	NA	NA	"CDMX"
"Walmart"	NA	"Vía José López Portillo No. 101 Zacuautitla 55710 Coacalco Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0972886	19.6345264	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Copilco No. 164 Oxtopulco 04318 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1834299	19.3382474	NA	NA	"CDMX"
"Walmart"	NA	"Av. Nextengo No. 78 Santa Cruz Acayucan 02770 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.191116	19.4715642	NA	NA	"CDMX"
"Walmart"	NA	"Fray Servando Teresa de Mier No. 881 Jardín Balbuena 15900 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.101591	19.417529	NA	NA	"CDMX"
"Walmart"	NA	"Blvd. Belisario Domínguez No. 2058 Fraccionamiento Las Arboledas Entre 19-A Poniente y 20 Poniente 29030 Tuxtla Gutiérrez Chiapas Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-93.134047	16.754856	NA	NA	"Chiapas"
"Walmart"	NA	"Insurgentes Norte No. 131 Guerrero 06300 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1530961	19.4459066	NA	NA	"CDMX"
"Walmart"	NA	"Av. Bordo de Xochiaca No. 3 Lote A-2 Benito Juárez 50000 Nezahualcoyotl Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0246724	19.4227717	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Luis Espinoza No. 160 Santiago Atepetlac 09987 Gustavo A. Madero México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1549154	19.5314759	NA	NA	"CDMX"
"Walmart"	NA	"Calzada Ignacio Zaragoza No. 58 Federal 15700 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.054487	19.3954174	NA	NA	"CDMX"
"Walmart"	NA	"Blvd. Alfredo del Mazo No. 503 Jardines de Tlacoapa 50071 Toluca Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6340604	19.308215	NA	NA	"EDOMEX"
"Walmart"	NA	"Blvd. Paseo Interlomas No. 5 Green House Entre Paseo Interlomas y Jesús del Monte 52779 México Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.35653	19.398121	NA	NA	"EDOMEX"
"Superama"	NA	"FUENTES DE SATELITE 1 BELLAVISTA 54080"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2544981	19.5236339	NA	NA	"edomex"
"Superama"	NA	"BLVD. MANUEL AVILA CAMACHO NO. 3130  TLALNEPANTLA VALLE DORADO 54020"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2090562	19.5491703	NA	NA	"edomex"
"Superama"	NA	"VIA GUSTAVO BAZ NO. 244 COLON ECHEGARAY 53300"	"07:00 - 23:00"	"Lunes a Domingo"	-99.231572	19.4804219	NA	NA	"edomex"
"Superama"	NA	"AV. LOMAS VERDES 545 LOMAS VERDES 53120"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2569896	19.5059616	NA	NA	"edomex"
"Superama"	NA	"CAMINO A SAN MATEO 20 JARDINES DE SAN MATEO 53240"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2475318	19.4892608	NA	NA	"edomex"
"Superama"	NA	"AV. DE LAS FUENTES 174 LOMAS DE TECAMACHALCO SECCION FUENTES 53950"	"07:00 - 23:00"	"Lunes a Domingo"	-99.237527	19.422339	NA	NA	"edomex"
"Superama"	NA	"AV. IGNACIO COMONFORT NO. 654 NORTE LA PROVIDENCIA 52172"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6070945	19.2738378	NA	NA	"edomex"
"Superama"	NA	"TECNOLOGICO 960 NORTE SAN SALVADOR TIZATLALE 52172"	"07:00 - 23:00"	"Lunes a Domingo"	-99.5739765	19.274167	NA	NA	"edomex"
"Superama"	NA	"BOSQUE DE MINAS NO 33 BOSQUES DE LA HERRADURA 52783"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2615428	19.4220919	NA	NA	"edomex"
"Superama"	NA	"AV JESUS DEL MONTE NO 37 JESUS DEL MONTE 52764"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2941851	19.3824718	NA	NA	"edomex"
