"fecha","Institucion","Nombre","Tipo","Bytes","Version"
2014-07-28,"coneval","ValoraciÃ³n del DesempeÃ±o 2008-2009","text/csv",NA,7
2014-07-28,"coneval","ValoraciÃ³n del DesempeÃ±o 2009-2010","text/csv",NA,7
2014-07-28,"coneval","ValoraciÃ³n del DesempeÃ±o 2010-2011","text/csv",NA,7
2014-07-28,"coneval","ValoraciÃ³n Consistencia y Resultados 2011-2012","text/csv",NA,7
2014-07-28,"coneval","ValoraciÃ³n del DesempeÃ±o 2012-2013","text/csv",NA,7
2014-07-28,"coneval","ValoraciÃ³n Ficha de Monitoreo 2012-2013","text/csv",NA,7
2014-07-28,"coneval","Datos Generales EED 2012-2013","text/csv",NA,7
2014-07-28,"coneval","Reporte de Cobertura de la EED 2012-2013","text/csv",NA,7
2014-07-28,"coneval","Reporte de Conclusiones de la EED 2012-2013","text/csv",NA,7
2014-07-28,"coneval","Reporte General  de la EED 2012-2013","text/csv",NA,7
2014-07-28,"coneval","Reporte de Indicadores de la EED 2012-2013","text/csv",NA,7
2014-07-28,"coneval","Municipal 2010","text/csv","2451451",7
2014-07-28,"coneval","Pobreza estatal 2010","text/csv","10606",7
2014-07-28,"coneval","Pobreza estatal 2010-2012","text/csv","12107",7
2014-07-28,"coneval","Rezago social estatal","text/csv","13407",7
2014-07-28,"coneval","Rezago social municipal","text/csv","976956",7
2014-07-28,"coneval","Rezago social por localidad","text/csv","15329416",7
2014-07-28,"coneval","DiagnÃ³stico del avance en monitoreo y evaluaciÃ³n en las entidades federativas 2011","csv","4136",7
2014-07-28,"coneval","DiagnÃ³stico del avance en monitoreo y evaluaciÃ³n en las entidades federativas 2013","csv","5675",7
2014-07-28,"coneval","DiagnÃ³stico de Matrices de Indicadores para Resultados 2008","csv","38761",7
2014-07-28,"coneval","DiagnÃ³stico de Matrices de Indicadores para Resultados 2010","csv","55324",7
